"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Sector","child"
"106",0,"3","male","3","0","0",7.8958,"S","0","Adult"
"107",1,"3","female","3","0","0",7.65,"S","0","Adult"
"108",1,"3","male","4","0","0",7.775,"S","0","Adult"
"109",0,"3","male","4","0","0",7.8958,"S","0","Adult"
"110",1,"3","female","3","1","0",24.15,"Q","0","Adult"
"111",0,"1","male","4","0","0",52,"S","3","Adult"
"112",0,"3","female","3","1","0",14.4542,"C","0","Adult"
"113",0,"3","male","3","0","0",8.05,"S","0","Adult"
"114",0,"3","female","3","1","0",9.825,"S","0","Adult"
"115",0,"3","female","3","0","0",14.4583,"C","0","Adult"
"116",0,"3","male","3","0","0",7.925,"S","0","Adult"
"117",0,"3","male","5","0","0",7.75,"Q","0","Adult"
"118",0,"2","male","3","1","0",21,"S","0","Adult"
"119",0,"1","male","3","0","1",247.5208,"C","2","Adult"
"120",0,"3","female","1","4","2",31.275,"S","0","Child"
"121",0,"2","male","3","2","0",73.5,"S","0","Adult"
"122",0,"3","male","3","0","0",8.05,"S","0","Adult"
"123",0,"2","male","4","1","0",30.0708,"C","0","Adult"
"124",1,"2","female","4","0","0",13,"S","5","Adult"
"125",0,"1","male","4","0","1",77.2875,"S","4","Adult"
"126",1,"3","male","2","1","0",11.2417,"C","0","Child"
"127",0,"3","male","4","0","0",7.75,"Q","0","Adult"
"128",1,"3","male","3","0","0",7.1417,"S","0","Adult"
"129",1,"3","female","4","1","1",22.3583,"C","6","Adult"
"130",0,"3","male","4","0","0",6.975,"S","0","Adult"
"131",0,"3","male","4","0","0",7.8958,"C","0","Adult"
"132",0,"3","male","3","0","0",7.05,"S","0","Adult"
"133",0,"3","female","4","1","0",14.5,"S","0","Adult"
"134",1,"2","female","3","1","0",26,"S","0","Adult"
"135",0,"2","male","3","0","0",13,"S","0","Adult"
"136",0,"2","male","3","0","0",15.0458,"C","0","Adult"
"137",1,"1","female","3","0","2",26.2833,"S","4","Adult"
"138",0,"1","male","4","1","0",53.1,"S","3","Adult"
"139",0,"3","male","3","0","0",9.2167,"S","0","Adult"
"140",0,"1","male","3","0","0",79.2,"C","2","Adult"
"141",0,"3","female","3","0","2",15.2458,"C","0","Adult"
"142",1,"3","female","3","0","0",7.75,"S","0","Adult"
"143",1,"3","female","3","1","0",15.85,"S","0","Adult"
"144",0,"3","male","3","0","0",6.75,"Q","0","Adult"
"145",0,"2","male","3","0","0",11.5,"S","0","Adult"
"146",0,"2","male","3","1","1",36.75,"S","0","Adult"
"147",1,"3","male","3","0","0",7.7958,"S","0","Adult"
"148",0,"3","female","2","2","2",34.375,"S","0","Child"
"149",0,"2","male","4","0","2",26,"S","6","Adult"
"150",0,"2","male","4","0","0",13,"S","0","Adult"
"151",0,"2","male","4","0","0",12.525,"S","0","Adult"
"152",1,"1","female","3","1","0",66.6,"S","3","Adult"
"153",0,"3","male","4","0","0",8.05,"S","0","Adult"
"154",0,"3","male","4","0","2",14.5,"S","0","Adult"
"155",0,"3","male","3","0","0",7.3125,"S","0","Adult"
"156",0,"1","male","4","0","1",61.3792,"C","0","Adult"
"157",1,"3","female","3","0","0",7.7333,"Q","0","Adult"
"158",0,"3","male","4","0","0",8.05,"S","0","Adult"
"159",0,"3","male","3","0","0",8.6625,"S","0","Adult"
"160",0,"3","male","2","8","2",69.55,"S","0","Child"
"161",0,"3","male","4","0","1",16.1,"S","0","Adult"
"162",1,"2","female","4","0","0",15.75,"S","0","Adult"
"163",0,"3","male","3","0","0",7.775,"S","0","Adult"
"164",0,"3","male","3","0","0",8.6625,"S","0","Adult"
"165",0,"3","male","1","4","1",39.6875,"S","0","Child"
"166",1,"3","male","2","0","2",20.525,"S","0","Child"
"167",1,"1","female","3","0","1",55,"S","5","Adult"
"168",0,"3","female","4","1","4",27.9,"S","0","Adult"
"169",0,"1","male","4","0","0",25.925,"S","0","Adult"
"170",0,"3","male","3","0","0",56.4958,"S","0","Adult"
"171",0,"1","male","5","0","0",33.5,"S","2","Adult"
"172",0,"3","male","2","4","1",29.125,"Q","0","Child"
"173",1,"3","female","1","1","1",11.1333,"S","0","Child"
"174",0,"3","male","3","0","0",7.925,"S","0","Adult"
"175",0,"1","male","4","0","0",30.6958,"C","1","Adult"
"176",0,"3","male","3","1","1",7.8542,"S","0","Adult"
"177",0,"3","male","2","3","1",25.4667,"S","0","Child"
"178",0,"1","female","4","0","0",28.7125,"C","3","Adult"
"179",0,"2","male","4","0","0",13,"S","0","Adult"
"180",0,"3","male","4","0","0",0,"S","0","Adult"
"181",0,"3","female","2","8","2",69.55,"S","0","Child"
"182",0,"2","male","4","0","0",15.05,"C","0","Adult"
"183",0,"3","male","2","4","2",31.3875,"S","0","Child"
"184",1,"2","male","1","2","1",39,"S","6","Child"
"185",1,"3","female","2","0","2",22.025,"S","0","Child"
"186",0,"1","male","4","0","0",50,"S","1","Adult"
"187",1,"3","female","3","1","0",15.5,"Q","0","Adult"
"188",1,"1","male","4","0","0",26.55,"S","0","Adult"
"189",0,"3","male","4","1","1",15.5,"Q","0","Adult"
"190",0,"3","male","4","0","0",7.8958,"S","0","Adult"
"191",1,"2","female","4","0","0",13,"S","0","Adult"
"192",0,"2","male","3","0","0",13,"S","0","Adult"
"193",1,"3","female","3","1","0",7.8542,"S","0","Adult"
"194",1,"2","male","1","1","1",26,"S","6","Child"
"195",1,"1","female","4","0","0",27.7208,"C","2","Adult"
"196",1,"1","female","4","0","0",146.5208,"C","2","Adult"
"197",0,"3","male","4","0","0",7.75,"Q","0","Adult"
"198",0,"3","male","4","0","1",8.4042,"S","0","Adult"
"199",1,"3","female","3","0","0",7.75,"Q","0","Adult"
"200",0,"2","female","3","0","0",13,"S","0","Adult"
"201",0,"3","male","3","0","0",9.5,"S","0","Adult"
"202",0,"3","male","2","8","2",69.55,"S","0","Child"
"203",0,"3","male","4","0","0",6.4958,"S","0","Adult"
"204",0,"3","male","4","0","0",7.225,"C","0","Adult"
"205",1,"3","male","3","0","0",8.05,"S","0","Adult"
"206",0,"3","female","1","0","1",10.4625,"S","7","Child"
"207",0,"3","male","4","1","0",15.85,"S","0","Adult"
"208",1,"3","male","3","0","0",18.7875,"C","0","Adult"
"209",1,"3","female","3","0","0",7.75,"Q","0","Adult"
"210",1,"1","male","4","0","0",31,"C","1","Adult"
"211",0,"3","male","3","0","0",7.05,"S","0","Adult"
"212",1,"2","female","4","0","0",21,"S","0","Adult"
"213",0,"3","male","3","0","0",7.25,"S","0","Adult"
"214",0,"2","male","4","0","0",13,"S","0","Adult"
"215",0,"3","male","4","1","0",7.75,"Q","0","Adult"
"216",1,"1","female","4","1","0",113.275,"C","4","Adult"
"217",1,"3","female","3","0","0",7.925,"S","0","Adult"
"218",0,"2","male","4","1","0",27,"S","0","Adult"
"219",1,"1","female","4","0","0",76.2917,"C","4","Adult"
"220",0,"2","male","4","0","0",10.5,"S","0","Adult"
"221",1,"3","male","3","0","0",8.05,"S","0","Adult"
"222",0,"2","male","3","0","0",13,"S","0","Adult"
"223",0,"3","male","4","0","0",8.05,"S","0","Adult"
"224",0,"3","male","3","0","0",7.8958,"S","0","Adult"
"225",1,"1","male","4","1","0",90,"S","3","Adult"
"226",0,"3","male","3","0","0",9.35,"S","0","Adult"
"227",1,"2","male","3","0","0",10.5,"S","0","Adult"
"228",0,"3","male","3","0","0",7.25,"S","0","Adult"
"229",0,"2","male","3","0","0",13,"S","0","Adult"
"230",0,"3","female","1","3","1",25.4667,"S","0","Child"
"231",1,"1","female","4","1","0",83.475,"S","3","Adult"
"232",0,"3","male","3","0","0",7.775,"S","0","Adult"
"233",0,"2","male","4","0","0",13.5,"S","0","Adult"
"234",1,"3","female","2","4","2",31.3875,"S","0","Child"
"235",0,"2","male","3","0","0",10.5,"S","0","Adult"
"236",0,"3","female","3","0","0",7.55,"S","0","Adult"
"237",0,"2","male","4","1","0",26,"S","0","Adult"
"238",1,"2","female","2","0","2",26.25,"S","0","Child"
"239",0,"2","male","3","0","0",10.5,"S","0","Adult"
"240",0,"2","male","4","0","0",12.275,"S","0","Adult"
"241",0,"3","female","3","1","0",14.4542,"C","0","Adult"
"242",1,"3","female","3","1","0",15.5,"Q","0","Adult"
"243",0,"2","male","3","0","0",10.5,"S","0","Adult"
"244",0,"3","male","3","0","0",7.125,"S","0","Adult"
"245",0,"3","male","4","0","0",7.225,"C","0","Adult"
"246",0,"1","male","4","2","0",90,"Q","3","Adult"
"247",0,"3","female","3","0","0",7.775,"S","0","Adult"
"248",1,"2","female","3","0","2",14.5,"S","0","Adult"
"249",1,"1","male","4","1","1",52.5542,"S","4","Adult"
"250",0,"2","male","4","1","0",26,"S","0","Adult"
"251",0,"3","male","3","0","0",7.25,"S","0","Adult"
"252",0,"3","female","3","1","1",10.4625,"S","7","Adult"
"253",0,"1","male","5","0","0",26.55,"S","3","Adult"
"254",0,"3","male","4","1","0",16.1,"S","0","Adult"
"255",0,"3","female","4","0","2",20.2125,"S","0","Adult"
"256",1,"3","female","3","0","2",15.2458,"C","0","Adult"
"257",1,"1","female","4","0","0",79.2,"C","0","Adult"
"258",1,"1","female","4","0","0",86.5,"S","2","Adult"
"259",1,"1","female","4","0","0",512.3292,"C","0","Adult"
"260",1,"2","female","4","0","1",26,"S","0","Adult"
"261",0,"3","male","4","0","0",7.75,"Q","0","Adult"
"262",1,"3","male","1","4","2",31.3875,"S","0","Child"
"263",0,"1","male","4","1","1",79.65,"S","5","Adult"
"264",0,"1","male","4","0","0",0,"S","2","Adult"
"265",0,"3","female","3","0","0",7.75,"Q","0","Adult"
"266",0,"2","male","4","0","0",10.5,"S","0","Adult"
"267",0,"3","male","3","4","1",39.6875,"S","0","Adult"
"268",1,"3","male","3","1","0",7.775,"S","0","Adult"
"269",1,"1","female","4","0","1",153.4625,"S","3","Adult"
"270",1,"1","female","4","0","0",135.6333,"S","3","Adult"
"271",0,"1","male","4","0","0",31,"S","0","Adult"
"272",1,"3","male","3","0","0",0,"S","0","Adult"
"273",1,"2","female","4","0","1",19.5,"S","0","Adult"
"274",0,"1","male","4","0","1",29.7,"C","3","Adult"
"275",1,"3","female","3","0","0",7.75,"Q","0","Adult"
"276",1,"1","female","5","1","0",77.9583,"S","4","Adult"
"277",0,"3","female","4","0","0",7.75,"S","0","Adult"
"278",0,"2","male","3","0","0",0,"S","0","Adult"
"279",0,"3","male","2","4","1",29.125,"Q","0","Child"
"280",1,"3","female","4","1","1",20.25,"S","0","Adult"
"281",0,"3","male","5","0","0",7.75,"Q","0","Adult"
"282",0,"3","male","3","0","0",7.8542,"S","0","Adult"
"283",0,"3","male","3","0","0",9.5,"S","0","Adult"
"284",1,"3","male","3","0","0",8.05,"S","0","Adult"
"285",0,"1","male","4","0","0",26,"S","1","Adult"
"286",0,"3","male","4","0","0",8.6625,"C","0","Adult"
"287",1,"3","male","4","0","0",9.5,"S","0","Adult"
"288",0,"3","male","3","0","0",7.8958,"S","0","Adult"
"289",1,"2","male","4","0","0",13,"S","0","Adult"
"290",1,"3","female","3","0","0",7.75,"Q","0","Adult"
"291",1,"1","female","3","0","0",78.85,"S","0","Adult"
"292",1,"1","female","3","1","0",91.0792,"C","2","Adult"
"293",0,"2","male","4","0","0",12.875,"C","4","Adult"
"294",0,"3","female","3","0","0",8.85,"S","0","Adult"
"295",0,"3","male","3","0","0",7.8958,"S","0","Adult"
"296",0,"1","male","4","0","0",27.7208,"C","0","Adult"
"297",0,"3","male","3","0","0",7.2292,"C","0","Adult"
"298",0,"1","female","1","1","2",151.55,"S","3","Child"
"299",1,"1","male","4","0","0",30.5,"S","3","Adult"
"300",1,"1","female","4","0","1",247.5208,"C","2","Adult"
"301",1,"3","female","3","0","0",7.75,"Q","0","Adult"
"302",1,"3","male","3","2","0",23.25,"Q","0","Adult"
"303",0,"3","male","3","0","0",0,"S","0","Adult"
"304",1,"2","female","3","0","0",12.35,"Q","5","Adult"
"305",0,"3","male","3","0","0",8.05,"S","0","Adult"
"306",1,"1","male","1","1","2",151.55,"S","3","Child"
"307",1,"1","female","4","0","0",110.8833,"C","0","Adult"
"308",1,"1","female","3","1","0",108.9,"C","3","Adult"
"309",0,"2","male","4","1","0",24,"C","0","Adult"
"310",1,"1","female","4","0","0",56.9292,"C","5","Adult"
"311",1,"1","female","3","0","0",83.1583,"C","3","Adult"
"312",1,"1","female","3","2","2",262.375,"C","2","Adult"
"313",0,"2","female","3","1","1",26,"S","0","Adult"
"314",0,"3","male","3","0","0",7.8958,"S","0","Adult"
"315",0,"2","male","4","1","1",26.25,"S","0","Adult"
"316",1,"3","female","3","0","0",7.8542,"S","0","Adult"
"317",1,"2","female","3","1","0",26,"S","0","Adult"
"318",0,"2","male","4","0","0",14,"S","0","Adult"
"319",1,"1","female","4","0","2",164.8667,"S","3","Adult"
"320",1,"1","female","4","1","1",134.5,"C","5","Adult"
"321",0,"3","male","3","0","0",7.25,"S","0","Adult"
"322",0,"3","male","3","0","0",7.8958,"S","0","Adult"
"323",1,"2","female","4","0","0",12.35,"Q","0","Adult"
"324",1,"2","female","3","1","1",29,"S","0","Adult"
"325",0,"3","male","2","8","2",69.55,"S","0","Child"
"326",1,"1","female","4","0","0",135.6333,"C","3","Adult"
"327",0,"3","male","5","0","0",6.2375,"S","0","Adult"
"328",1,"2","female","4","0","0",13,"S","4","Adult"
"329",1,"3","female","4","1","1",20.525,"S","0","Adult"
"330",1,"1","female","3","0","1",57.9792,"C","2","Adult"
"331",1,"3","female","3","2","0",23.25,"Q","0","Adult"
"332",0,"1","male","4","0","0",28.5,"S","3","Adult"
"333",0,"1","male","4","0","1",153.4625,"S","3","Adult"
"334",0,"3","male","3","2","0",18,"S","0","Adult"
"335",1,"1","female","4","1","0",133.65,"S","0","Adult"
"336",0,"3","male","3","0","0",7.8958,"S","0","Adult"
"337",0,"1","male","3","1","0",66.6,"S","3","Adult"
"338",1,"1","female","4","0","0",134.5,"C","5","Adult"
"339",1,"3","male","4","0","0",8.05,"S","0","Adult"
"340",0,"1","male","4","0","0",35.5,"S","8","Adult"
"341",1,"2","male","1","1","1",26,"S","6","Child"
"342",1,"1","female","3","3","2",263,"S","3","Adult"
"343",0,"2","male","3","0","0",13,"S","0","Adult"
"344",0,"2","male","3","0","0",13,"S","0","Adult"
"345",0,"2","male","4","0","0",13,"S","0","Adult"
"346",1,"2","female","3","0","0",13,"S","6","Adult"
"347",1,"2","female","4","0","0",13,"S","0","Adult"
"348",1,"3","female","3","1","0",16.1,"S","0","Adult"
"349",1,"3","male","1","1","1",15.9,"S","0","Child"
"350",0,"3","male","4","0","0",8.6625,"S","0","Adult"
"351",0,"3","male","3","0","0",9.225,"S","0","Adult"
"352",0,"1","male","4","0","0",35,"S","3","Adult"
"353",0,"3","male","3","1","1",7.2292,"C","0","Adult"
"354",0,"3","male","3","1","0",17.8,"S","0","Adult"
"355",0,"3","male","4","0","0",7.225,"C","0","Adult"
"356",0,"3","male","3","0","0",9.5,"S","0","Adult"
"357",1,"1","female","3","0","1",55,"S","5","Adult"
"358",0,"2","female","4","0","0",13,"S","0","Adult"
"359",1,"3","female","3","0","0",7.8792,"Q","0","Adult"
"360",1,"3","female","3","0","0",7.8792,"Q","0","Adult"
"361",0,"3","male","4","1","4",27.9,"S","0","Adult"
"362",0,"2","male","3","1","0",27.7208,"C","0","Adult"
"363",0,"3","female","4","0","1",14.4542,"C","0","Adult"
"364",0,"3","male","4","0","0",7.05,"S","0","Adult"
"365",0,"3","male","4","1","0",15.5,"Q","0","Adult"
"366",0,"3","male","4","0","0",7.25,"S","0","Adult"
"367",1,"1","female","4","1","0",75.25,"C","4","Adult"
"368",1,"3","female","3","0","0",7.2292,"C","0","Adult"
"369",1,"3","female","3","0","0",7.75,"Q","0","Adult"
"370",1,"1","female","3","0","0",69.3,"C","2","Adult"
"371",1,"1","male","3","1","0",55.4417,"C","5","Adult"
"372",0,"3","male","3","1","0",6.4958,"S","0","Adult"
"373",0,"3","male","3","0","0",8.05,"S","0","Adult"
"374",0,"1","male","3","0","0",135.6333,"C","0","Adult"
"375",0,"3","female","1","3","1",21.075,"S","0","Child"
"376",1,"1","female","4","1","0",82.1708,"C","0","Adult"
"377",1,"3","female","3","0","0",7.25,"S","0","Adult"
"378",0,"1","male","3","0","2",211.5,"C","3","Adult"
"379",0,"3","male","3","0","0",4.0125,"C","0","Adult"
"380",0,"3","male","3","0","0",7.775,"S","0","Adult"
"381",1,"1","female","4","0","0",227.525,"C","0","Adult"
"382",1,"3","female","1","0","2",15.7417,"C","0","Child"
"383",0,"3","male","4","0","0",7.925,"S","0","Adult"
"384",1,"1","female","4","1","0",52,"S","0","Adult"
"385",0,"3","male","3","0","0",7.8958,"S","0","Adult"
"386",0,"2","male","3","0","0",73.5,"S","0","Adult"
"387",0,"3","male","1","5","2",46.9,"S","0","Child"
"388",1,"2","female","4","0","0",13,"S","0","Adult"
"389",0,"3","male","3","0","0",7.7292,"Q","0","Adult"
"390",1,"2","female","3","0","0",12,"C","0","Adult"
"391",1,"1","male","4","1","2",120,"S","2","Adult"
"392",1,"3","male","3","0","0",7.7958,"S","0","Adult"
"393",0,"3","male","3","2","0",7.925,"S","0","Adult"
"394",1,"1","female","3","1","0",113.275,"C","4","Adult"
"395",1,"3","female","3","0","2",16.7,"S","7","Adult"
"396",0,"3","male","3","0","0",7.7958,"S","0","Adult"
"397",0,"3","female","4","0","0",7.8542,"S","0","Adult"
"398",0,"2","male","4","0","0",26,"S","0","Adult"
"399",0,"2","male","3","0","0",10.5,"S","0","Adult"
"400",1,"2","female","3","0","0",12.65,"S","0","Adult"
"401",1,"3","male","4","0","0",7.925,"S","0","Adult"
"402",0,"3","male","3","0","0",8.05,"S","0","Adult"
"403",0,"3","female","3","1","0",9.825,"S","0","Adult"
"404",0,"3","male","3","1","0",15.85,"S","0","Adult"
"405",0,"3","female","3","0","0",8.6625,"S","0","Adult"
"406",0,"2","male","4","1","0",21,"S","0","Adult"
"407",0,"3","male","4","0","0",7.75,"S","0","Adult"
"408",1,"2","male","1","1","1",18.75,"S","0","Child"
"409",0,"3","male","3","0","0",7.775,"S","0","Adult"
"410",0,"3","female","2","3","1",25.4667,"S","0","Child"
"411",0,"3","male","3","0","0",7.8958,"S","0","Adult"
"412",0,"3","male","3","0","0",6.8583,"Q","0","Adult"
"413",1,"1","female","4","1","0",90,"Q","3","Adult"
"414",0,"2","male","3","0","0",0,"S","0","Adult"
"415",1,"3","male","4","0","0",7.925,"S","0","Adult"
"416",0,"3","female","3","0","0",8.05,"S","0","Adult"
"417",1,"2","female","4","1","1",32.5,"S","0","Adult"
"418",1,"2","female","3","0","2",13,"S","0","Adult"
"419",0,"2","male","4","0","0",13,"S","0","Adult"
"420",0,"3","female","2","0","2",24.15,"S","0","Child"
"421",0,"3","male","3","0","0",7.8958,"C","0","Adult"
"422",0,"3","male","3","0","0",7.7333,"Q","0","Adult"
"423",0,"3","male","3","0","0",7.875,"S","0","Adult"
"424",0,"3","female","3","1","1",14.4,"S","0","Adult"
"425",0,"3","male","3","1","1",20.2125,"S","0","Adult"
"426",0,"3","male","3","0","0",7.25,"S","0","Adult"
"427",1,"2","female","3","1","0",26,"S","0","Adult"
"428",1,"2","female","3","0","0",26,"S","0","Adult"
"429",0,"3","male","4","0","0",7.75,"Q","0","Adult"
"430",1,"3","male","4","0","0",8.05,"S","5","Adult"
"431",1,"1","male","3","0","0",26.55,"S","3","Adult"
"432",1,"3","female","3","1","0",16.1,"S","0","Adult"
"433",1,"2","female","4","1","0",26,"S","0","Adult"
"434",0,"3","male","3","0","0",7.125,"S","0","Adult"
"435",0,"1","male","4","1","0",55.9,"S","5","Adult"
"436",1,"1","female","3","1","2",120,"S","2","Adult"
"437",0,"3","female","3","2","2",34.375,"S","0","Adult"
"438",1,"2","female","3","2","3",18.75,"S","0","Adult"
"439",0,"1","male","5","1","4",263,"S","3","Adult"
"440",0,"2","male","4","0","0",10.5,"S","0","Adult"
"441",1,"2","female","4","1","1",26.25,"S","0","Adult"
"442",0,"3","male","3","0","0",9.5,"S","0","Adult"
"443",0,"3","male","3","1","0",7.775,"S","0","Adult"
"444",1,"2","female","3","0","0",13,"S","0","Adult"
"445",1,"3","male","3","0","0",8.1125,"S","0","Adult"
"446",1,"1","male","2","0","2",81.8583,"S","1","Child"
"447",1,"2","female","2","0","1",19.5,"S","0","Child"
"448",1,"1","male","4","0","0",26.55,"S","0","Adult"
"449",1,"3","female","2","2","1",19.2583,"C","0","Child"
"450",1,"1","male","4","0","0",30.5,"S","3","Adult"
"451",0,"2","male","4","1","2",27.75,"S","0","Adult"
"452",0,"3","male","3","1","0",19.9667,"S","0","Adult"
"453",0,"1","male","4","0","0",27.75,"C","3","Adult"
"454",1,"1","male","4","1","0",89.1042,"C","3","Adult"
"455",0,"3","male","3","0","0",8.05,"S","0","Adult"
"456",1,"3","male","3","0","0",7.8958,"C","0","Adult"
"457",0,"1","male","5","0","0",26.55,"S","5","Adult"
"458",1,"1","female","4","1","0",51.8625,"S","4","Adult"
"459",1,"2","female","4","0","0",10.5,"S","0","Adult"
"460",0,"3","male","4","0","0",7.75,"Q","0","Adult"
"461",1,"1","male","4","0","0",26.55,"S","5","Adult"
"462",0,"3","male","4","0","0",8.05,"S","0","Adult"
"463",0,"1","male","4","0","0",38.5,"S","5","Adult"
"464",0,"2","male","4","0","0",13,"S","0","Adult"
