"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Sector"
"71","0",2,2,4,1,1,10.5,3,1
"72","0",3,1,3,6,3,46.9,3,1
"73","0",2,2,3,1,1,73.5,3,1
"74","0",3,2,3,2,1,14.4542,1,1
"75","1",3,2,4,1,1,56.4958,3,1
"76","0",3,2,3,1,1,7.65,3,7
"77","0",3,2,3,1,1,7.8958,3,1
"78","0",3,2,3,1,1,8.05,3,1
"79","1",2,2,1,1,3,29,3,1
"80","1",3,1,4,1,1,12.475,3,1
"81","0",3,2,3,1,1,9,3,1
"82","1",3,2,3,1,1,9.5,3,1
"83","1",3,1,3,1,1,7.7875,2,1
"84","0",1,2,3,1,1,47.1,3,1
"85","1",2,1,3,1,1,10.5,3,1
"86","1",3,1,4,4,1,15.85,3,1
"87","0",3,2,3,2,4,34.375,3,1
"88","0",3,2,3,1,1,8.05,3,1
"89","1",1,1,3,4,3,263,3,4
"90","0",3,2,3,1,1,8.05,3,1
"91","0",3,2,3,1,1,8.05,3,1
"92","0",3,2,3,1,1,7.8542,3,1
"93","0",1,2,4,2,1,61.175,3,6
"94","0",3,2,3,2,3,20.575,3,1
"95","0",3,2,4,1,1,7.25,3,1
"96","0",3,2,3,1,1,8.05,3,1
"97","0",1,2,5,1,1,34.6542,1,2
"98","1",1,2,3,1,2,63.3583,1,5
"99","1",2,1,4,1,2,23,3,1
"100","0",2,2,4,2,1,26,3,1
"101","0",3,1,3,1,1,7.8958,3,1
"102","0",3,2,3,1,1,7.8958,3,1
"103","0",1,2,3,1,2,77.2875,3,5
"104","0",3,2,4,1,1,8.6542,3,1
"105","0",3,2,4,3,1,7.925,3,1
"106","0",3,2,3,1,1,7.8958,3,1
"107","1",3,1,3,1,1,7.65,3,1
"108","1",3,2,4,1,1,7.775,3,1
"109","0",3,2,4,1,1,7.8958,3,1
"110","1",3,1,3,2,1,24.15,2,1
"111","0",1,2,4,1,1,52,3,4
"112","0",3,1,3,2,1,14.4542,1,1
"113","0",3,2,3,1,1,8.05,3,1
"114","0",3,1,3,2,1,9.825,3,1
"115","0",3,1,3,1,1,14.4583,1,1
"116","0",3,2,3,1,1,7.925,3,1
"117","0",3,2,5,1,1,7.75,2,1
"118","0",2,2,3,2,1,21,3,1
"119","0",1,2,3,1,2,247.5208,1,3
"120","0",3,1,1,5,3,31.275,3,1
"121","0",2,2,3,3,1,73.5,3,1
"122","0",3,2,3,1,1,8.05,3,1
"123","0",2,2,4,2,1,30.0708,1,1
"124","1",2,1,4,1,1,13,3,6
"125","0",1,2,4,1,2,77.2875,3,5
"126","1",3,2,2,2,1,11.2417,1,1
"127","0",3,2,4,1,1,7.75,2,1
"128","1",3,2,3,1,1,7.1417,3,1
"129","1",3,1,4,2,2,22.3583,1,7
"130","0",3,2,4,1,1,6.975,3,1
"131","0",3,2,4,1,1,7.8958,1,1
"132","0",3,2,3,1,1,7.05,3,1
"133","0",3,1,4,2,1,14.5,3,1
"134","1",2,1,3,2,1,26,3,1
"135","0",2,2,3,1,1,13,3,1
"136","0",2,2,3,1,1,15.0458,1,1
"137","1",1,1,3,1,3,26.2833,3,5
"138","0",1,2,4,2,1,53.1,3,4
"139","0",3,2,3,1,1,9.2167,3,1
"140","0",1,2,3,1,1,79.2,1,3
"141","0",3,1,3,1,3,15.2458,1,1
"142","1",3,1,3,1,1,7.75,3,1
"143","1",3,1,3,2,1,15.85,3,1
"144","0",3,2,3,1,1,6.75,2,1
"145","0",2,2,3,1,1,11.5,3,1
"146","0",2,2,3,2,2,36.75,3,1
"147","1",3,2,3,1,1,7.7958,3,1
"148","0",3,1,2,3,3,34.375,3,1
"149","0",2,2,4,1,3,26,3,7
"150","0",2,2,4,1,1,13,3,1
"151","0",2,2,4,1,1,12.525,3,1
"152","1",1,1,3,2,1,66.6,3,4
"153","0",3,2,4,1,1,8.05,3,1
"154","0",3,2,4,1,3,14.5,3,1
"155","0",3,2,3,1,1,7.3125,3,1
"156","0",1,2,4,1,2,61.3792,1,1
"157","1",3,1,3,1,1,7.7333,2,1
"158","0",3,2,4,1,1,8.05,3,1
"159","0",3,2,3,1,1,8.6625,3,1
"160","0",3,2,2,7,3,69.55,3,1
"161","0",3,2,4,1,2,16.1,3,1
"162","1",2,1,4,1,1,15.75,3,1
"163","0",3,2,3,1,1,7.775,3,1
"164","0",3,2,3,1,1,8.6625,3,1
"165","0",3,2,1,5,2,39.6875,3,1
"166","1",3,2,2,1,3,20.525,3,1
"167","1",1,1,3,1,2,55,3,6
"168","0",3,1,4,2,5,27.9,3,1
"169","0",1,2,4,1,1,25.925,3,1
"170","0",3,2,3,1,1,56.4958,3,1
"171","0",1,2,5,1,1,33.5,3,3
"172","0",3,2,2,5,2,29.125,2,1
"173","1",3,1,1,2,2,11.1333,3,1
"174","0",3,2,3,1,1,7.925,3,1
"175","0",1,2,4,1,1,30.6958,1,2
"176","0",3,2,3,2,2,7.8542,3,1
"177","0",3,2,2,4,2,25.4667,3,1
"178","0",1,1,4,1,1,28.7125,1,4
"179","0",2,2,4,1,1,13,3,1
"180","0",3,2,4,1,1,0,3,1
"181","0",3,1,2,7,3,69.55,3,1
"182","0",2,2,4,1,1,15.05,1,1
"183","0",3,2,2,5,3,31.3875,3,1
"184","1",2,2,1,3,2,39,3,7
"185","1",3,1,2,1,3,22.025,3,1
"186","0",1,2,4,1,1,50,3,2
"187","1",3,1,3,2,1,15.5,2,1
"188","1",1,2,4,1,1,26.55,3,1
"189","0",3,2,4,2,2,15.5,2,1
"190","0",3,2,4,1,1,7.8958,3,1
"191","1",2,1,4,1,1,13,3,1
"192","0",2,2,3,1,1,13,3,1
"193","1",3,1,3,2,1,7.8542,3,1
"194","1",2,2,1,2,2,26,3,7
"195","1",1,1,4,1,1,27.7208,1,3
"196","1",1,1,4,1,1,146.5208,1,3
"197","0",3,2,4,1,1,7.75,2,1
"198","0",3,2,4,1,2,8.4042,3,1
"199","1",3,1,3,1,1,7.75,2,1
"200","0",2,1,3,1,1,13,3,1
"201","0",3,2,3,1,1,9.5,3,1
"202","0",3,2,2,7,3,69.55,3,1
"203","0",3,2,4,1,1,6.4958,3,1
"204","0",3,2,4,1,1,7.225,1,1
"205","1",3,2,3,1,1,8.05,3,1
"206","0",3,1,1,1,2,10.4625,3,8
"207","0",3,2,4,2,1,15.85,3,1
"208","1",3,2,3,1,1,18.7875,1,1
"209","1",3,1,3,1,1,7.75,2,1
"210","1",1,2,4,1,1,31,1,2
"211","0",3,2,3,1,1,7.05,3,1
"212","1",2,1,4,1,1,21,3,1
"213","0",3,2,3,1,1,7.25,3,1
"214","0",2,2,4,1,1,13,3,1
"215","0",3,2,4,2,1,7.75,2,1
"216","1",1,1,4,2,1,113.275,1,5
"217","1",3,1,3,1,1,7.925,3,1
"218","0",2,2,4,2,1,27,3,1
"219","1",1,1,4,1,1,76.2917,1,5
"220","0",2,2,4,1,1,10.5,3,1
"221","1",3,2,3,1,1,8.05,3,1
"222","0",2,2,3,1,1,13,3,1
"223","0",3,2,4,1,1,8.05,3,1
"224","0",3,2,3,1,1,7.8958,3,1
"225","1",1,2,4,2,1,90,3,4
"226","0",3,2,3,1,1,9.35,3,1
"227","1",2,2,3,1,1,10.5,3,1
"228","0",3,2,3,1,1,7.25,3,1
"229","0",2,2,3,1,1,13,3,1
"230","0",3,1,1,4,2,25.4667,3,1
"231","1",1,1,4,2,1,83.475,3,4
"232","0",3,2,3,1,1,7.775,3,1
"233","0",2,2,4,1,1,13.5,3,1
"234","1",3,1,2,5,3,31.3875,3,1
"235","0",2,2,3,1,1,10.5,3,1
"236","0",3,1,3,1,1,7.55,3,1
"237","0",2,2,4,2,1,26,3,1
"238","1",2,1,2,1,3,26.25,3,1
"239","0",2,2,3,1,1,10.5,3,1
"240","0",2,2,4,1,1,12.275,3,1
"241","0",3,1,3,2,1,14.4542,1,1
"242","1",3,1,3,2,1,15.5,2,1
"243","0",2,2,3,1,1,10.5,3,1
"244","0",3,2,3,1,1,7.125,3,1
"245","0",3,2,4,1,1,7.225,1,1
"246","0",1,2,4,3,1,90,2,4
"247","0",3,1,3,1,1,7.775,3,1
"248","1",2,1,3,1,3,14.5,3,1
"249","1",1,2,4,2,2,52.5542,3,5
"250","0",2,2,4,2,1,26,3,1
"251","0",3,2,3,1,1,7.25,3,1
"252","0",3,1,3,2,2,10.4625,3,8
"253","0",1,2,5,1,1,26.55,3,4
"254","0",3,2,4,2,1,16.1,3,1
"255","0",3,1,4,1,3,20.2125,3,1
"256","1",3,1,3,1,3,15.2458,1,1
"257","1",1,1,4,1,1,79.2,1,1
"258","1",1,1,4,1,1,86.5,3,3
"259","1",1,1,4,1,1,512.3292,1,1
"260","1",2,1,4,1,2,26,3,1
"261","0",3,2,4,1,1,7.75,2,1
"262","1",3,2,1,5,3,31.3875,3,1
"263","0",1,2,4,2,2,79.65,3,6
"264","0",1,2,4,1,1,0,3,3
"265","0",3,1,3,1,1,7.75,2,1
"266","0",2,2,4,1,1,10.5,3,1
"267","0",3,2,3,5,2,39.6875,3,1
"268","1",3,2,3,2,1,7.775,3,1
"269","1",1,1,4,1,2,153.4625,3,4
"270","1",1,1,4,1,1,135.6333,3,4
"271","0",1,2,4,1,1,31,3,1
"272","1",3,2,3,1,1,0,3,1
"273","1",2,1,4,1,2,19.5,3,1
"274","0",1,2,4,1,2,29.7,1,4
"275","1",3,1,3,1,1,7.75,2,1
"276","1",1,1,5,2,1,77.9583,3,5
"277","0",3,1,4,1,1,7.75,3,1
"278","0",2,2,3,1,1,0,3,1
"279","0",3,2,2,5,2,29.125,2,1
"280","1",3,1,4,2,2,20.25,3,1
"281","0",3,2,5,1,1,7.75,2,1
"282","0",3,2,3,1,1,7.8542,3,1
"283","0",3,2,3,1,1,9.5,3,1
"284","1",3,2,3,1,1,8.05,3,1
"285","0",1,2,4,1,1,26,3,2
"286","0",3,2,4,1,1,8.6625,1,1
"287","1",3,2,4,1,1,9.5,3,1
"288","0",3,2,3,1,1,7.8958,3,1
"289","1",2,2,4,1,1,13,3,1
"290","1",3,1,3,1,1,7.75,2,1
"291","1",1,1,3,1,1,78.85,3,1
"292","1",1,1,3,2,1,91.0792,1,3
"293","0",2,2,4,1,1,12.875,1,5
"294","0",3,1,3,1,1,8.85,3,1
"295","0",3,2,3,1,1,7.8958,3,1
"296","0",1,2,4,1,1,27.7208,1,1
"297","0",3,2,3,1,1,7.2292,1,1
"298","0",1,1,1,2,3,151.55,3,4
"299","1",1,2,4,1,1,30.5,3,4
"300","1",1,1,4,1,2,247.5208,1,3
"301","1",3,1,3,1,1,7.75,2,1
"302","1",3,2,3,3,1,23.25,2,1
"303","0",3,2,3,1,1,0,3,1
"304","1",2,1,3,1,1,12.35,2,6
"305","0",3,2,3,1,1,8.05,3,1
"306","1",1,2,1,2,3,151.55,3,4
"307","1",1,1,4,1,1,110.8833,1,1
"308","1",1,1,3,2,1,108.9,1,4
"309","0",2,2,4,2,1,24,1,1
"310","1",1,1,4,1,1,56.9292,1,6
"311","1",1,1,3,1,1,83.1583,1,4
"312","1",1,1,3,3,3,262.375,1,3
"313","0",2,1,3,2,2,26,3,1
"314","0",3,2,3,1,1,7.8958,3,1
"315","0",2,2,4,2,2,26.25,3,1
"316","1",3,1,3,1,1,7.8542,3,1
"317","1",2,1,3,2,1,26,3,1
"318","0",2,2,4,1,1,14,3,1
"319","1",1,1,4,1,3,164.8667,3,4
"320","1",1,1,4,2,2,134.5,1,6
"321","0",3,2,3,1,1,7.25,3,1
"322","0",3,2,3,1,1,7.8958,3,1
"323","1",2,1,4,1,1,12.35,2,1
"324","1",2,1,3,2,2,29,3,1
"325","0",3,2,2,7,3,69.55,3,1
"326","1",1,1,4,1,1,135.6333,1,4
"327","0",3,2,5,1,1,6.2375,3,1
"328","1",2,1,4,1,1,13,3,5
"329","1",3,1,4,2,2,20.525,3,1
"330","1",1,1,3,1,2,57.9792,1,3
"331","1",3,1,3,3,1,23.25,2,1
"332","0",1,2,4,1,1,28.5,3,4
"333","0",1,2,4,1,2,153.4625,3,4
"334","0",3,2,3,3,1,18,3,1
"335","1",1,1,4,2,1,133.65,3,1
"336","0",3,2,3,1,1,7.8958,3,1
"337","0",1,2,3,2,1,66.6,3,4
"338","1",1,1,4,1,1,134.5,1,6
"339","1",3,2,4,1,1,8.05,3,1
"340","0",1,2,4,1,1,35.5,3,9
"341","1",2,2,1,2,2,26,3,7
"342","1",1,1,3,4,3,263,3,4
"343","0",2,2,3,1,1,13,3,1
"344","0",2,2,3,1,1,13,3,1
"345","0",2,2,4,1,1,13,3,1
"346","1",2,1,3,1,1,13,3,7
"347","1",2,1,4,1,1,13,3,1
"348","1",3,1,3,2,1,16.1,3,1
"349","1",3,2,1,2,2,15.9,3,1
"350","0",3,2,4,1,1,8.6625,3,1
"351","0",3,2,3,1,1,9.225,3,1
"352","0",1,2,4,1,1,35,3,4
"353","0",3,2,3,2,2,7.2292,1,1
"354","0",3,2,3,2,1,17.8,3,1
"355","0",3,2,4,1,1,7.225,1,1
"356","0",3,2,3,1,1,9.5,3,1
"357","1",1,1,3,1,2,55,3,6
"358","0",2,1,4,1,1,13,3,1
"359","1",3,1,3,1,1,7.8792,2,1
"360","1",3,1,3,1,1,7.8792,2,1
"361","0",3,2,4,2,5,27.9,3,1
"362","0",2,2,3,2,1,27.7208,1,1
"363","0",3,1,4,1,2,14.4542,1,1
"364","0",3,2,4,1,1,7.05,3,1
"365","0",3,2,4,2,1,15.5,2,1
"366","0",3,2,4,1,1,7.25,3,1
"367","1",1,1,4,2,1,75.25,1,5
"368","1",3,1,3,1,1,7.2292,1,1
"369","1",3,1,3,1,1,7.75,2,1
"370","1",1,1,3,1,1,69.3,1,3
"371","1",1,2,3,2,1,55.4417,1,6
"372","0",3,2,3,2,1,6.4958,3,1
"373","0",3,2,3,1,1,8.05,3,1
"374","0",1,2,3,1,1,135.6333,1,1
"375","0",3,1,1,4,2,21.075,3,1
"376","1",1,1,4,2,1,82.1708,1,1
"377","1",3,1,3,1,1,7.25,3,1
"378","0",1,2,3,1,3,211.5,1,4
"379","0",3,2,3,1,1,4.0125,1,1
"380","0",3,2,3,1,1,7.775,3,1
"381","1",1,1,4,1,1,227.525,1,1
"382","1",3,1,1,1,3,15.7417,1,1
"383","0",3,2,4,1,1,7.925,3,1
"384","1",1,1,4,2,1,52,3,1
"385","0",3,2,3,1,1,7.8958,3,1
"386","0",2,2,3,1,1,73.5,3,1
"387","0",3,2,1,6,3,46.9,3,1
"388","1",2,1,4,1,1,13,3,1
"389","0",3,2,3,1,1,7.7292,2,1
"390","1",2,1,3,1,1,12,1,1
"391","1",1,2,4,2,3,120,3,3
"392","1",3,2,3,1,1,7.7958,3,1
"393","0",3,2,3,3,1,7.925,3,1
"394","1",1,1,3,2,1,113.275,1,5
"395","1",3,1,3,1,3,16.7,3,8
"396","0",3,2,3,1,1,7.7958,3,1
"397","0",3,1,4,1,1,7.8542,3,1
"398","0",2,2,4,1,1,26,3,1
"399","0",2,2,3,1,1,10.5,3,1
"400","1",2,1,3,1,1,12.65,3,1
"401","1",3,2,4,1,1,7.925,3,1
"402","0",3,2,3,1,1,8.05,3,1
"403","0",3,1,3,2,1,9.825,3,1
"404","0",3,2,3,2,1,15.85,3,1
"405","0",3,1,3,1,1,8.6625,3,1
"406","0",2,2,4,2,1,21,3,1
"407","0",3,2,4,1,1,7.75,3,1
"408","1",2,2,1,2,2,18.75,3,1
"409","0",3,2,3,1,1,7.775,3,1
"410","0",3,1,2,4,2,25.4667,3,1
"411","0",3,2,3,1,1,7.8958,3,1
"412","0",3,2,3,1,1,6.8583,2,1
"413","1",1,1,4,2,1,90,2,4
"414","0",2,2,3,1,1,0,3,1
"415","1",3,2,4,1,1,7.925,3,1
"416","0",3,1,3,1,1,8.05,3,1
"417","1",2,1,4,2,2,32.5,3,1
"418","1",2,1,3,1,3,13,3,1
"419","0",2,2,4,1,1,13,3,1
"420","0",3,1,2,1,3,24.15,3,1
"421","0",3,2,3,1,1,7.8958,1,1
"422","0",3,2,3,1,1,7.7333,2,1
"423","0",3,2,3,1,1,7.875,3,1
"424","0",3,1,3,2,2,14.4,3,1
"425","0",3,2,3,2,2,20.2125,3,1
"426","0",3,2,3,1,1,7.25,3,1
"427","1",2,1,3,2,1,26,3,1
"428","1",2,1,3,1,1,26,3,1
"429","0",3,2,4,1,1,7.75,2,1
"430","1",3,2,4,1,1,8.05,3,6
"431","1",1,2,3,1,1,26.55,3,4
"432","1",3,1,3,2,1,16.1,3,1
"433","1",2,1,4,2,1,26,3,1
"434","0",3,2,3,1,1,7.125,3,1
"435","0",1,2,4,2,1,55.9,3,6
"436","1",1,1,3,2,3,120,3,3
"437","0",3,1,3,3,3,34.375,3,1
"438","1",2,1,3,3,4,18.75,3,1
"439","0",1,2,5,2,5,263,3,4
"440","0",2,2,4,1,1,10.5,3,1
"441","1",2,1,4,2,2,26.25,3,1
"442","0",3,2,3,1,1,9.5,3,1
"443","0",3,2,3,2,1,7.775,3,1
"444","1",2,1,3,1,1,13,3,1
"445","1",3,2,3,1,1,8.1125,3,1
"446","1",1,2,2,1,3,81.8583,3,2
"447","1",2,1,2,1,2,19.5,3,1
"448","1",1,2,4,1,1,26.55,3,1
"449","1",3,1,2,3,2,19.2583,1,1
"450","1",1,2,4,1,1,30.5,3,4
"451","0",2,2,4,2,3,27.75,3,1
"452","0",3,2,3,2,1,19.9667,3,1
"453","0",1,2,4,1,1,27.75,1,4
"454","1",1,2,4,2,1,89.1042,1,4
"455","0",3,2,3,1,1,8.05,3,1
"456","1",3,2,3,1,1,7.8958,1,1
"457","0",1,2,5,1,1,26.55,3,6
"458","1",1,1,4,2,1,51.8625,3,5
"459","1",2,1,4,1,1,10.5,3,1
"460","0",3,2,4,1,1,7.75,2,1
"461","1",1,2,4,1,1,26.55,3,6
"462","0",3,2,4,1,1,8.05,3,1
"463","0",1,2,4,1,1,38.5,3,6
"464","0",2,2,4,1,1,13,3,1
"465","0",3,2,3,1,1,8.05,3,1
"466","0",3,2,4,1,1,7.05,3,1
"467","0",2,2,4,1,1,0,3,1
"468","0",1,2,4,1,1,26.55,3,1
"469","0",3,2,5,1,1,7.725,2,1
"470","1",3,1,1,3,2,19.2583,1,1
"471","0",3,2,3,1,1,7.25,3,1
"472","0",3,2,4,1,1,8.6625,3,1
"473","1",2,1,4,2,3,27.75,3,1
"474","1",2,1,3,1,1,13.7917,1,5
"475","0",3,1,3,1,1,9.8375,3,1
"476","0",1,2,4,1,1,52,3,2
"477","0",2,2,4,2,1,21,3,1
"478","0",3,2,3,2,1,7.0458,3,1
"479","0",3,2,3,1,1,7.5208,3,1
"480","1",3,1,1,1,2,12.2875,3,1
"481","0",3,2,2,6,3,46.9,3,1
"482","0",2,2,3,1,1,0,3,1
"483","0",3,2,4,1,1,8.05,3,1
"484","1",3,1,5,1,1,9.5875,3,1
"485","1",1,2,3,2,1,91.0792,1,3
"486","0",3,1,1,4,2,25.4667,3,1
"487","1",1,1,4,2,1,90,3,4
"488","0",1,2,4,1,1,29.7,1,3
"489","0",3,2,4,1,1,8.05,3,1
"490","1",3,2,2,2,2,15.9,3,1
"491","0",3,2,3,2,1,19.9667,3,1
"492","0",3,2,3,1,1,7.25,3,1
"493","0",1,2,4,1,1,30.5,3,4
"494","0",1,2,5,1,1,49.5042,1,1
"495","0",3,2,3,1,1,8.05,3,1
"496","0",3,2,4,1,1,14.4583,1,1
"497","1",1,1,4,2,1,78.2667,1,5
"498","0",3,2,3,1,1,15.1,3,1
"499","0",1,1,3,2,3,151.55,3,4
"500","0",3,2,3,1,1,7.7958,3,1
"501","0",3,2,3,1,1,8.6625,3,1
"502","0",3,1,3,1,1,7.75,2,1
"503","0",3,1,3,1,1,7.6292,2,1
"504","0",3,1,4,1,1,9.5875,3,1
"505","1",1,1,3,1,1,86.5,3,3
"506","0",1,2,3,2,1,108.9,1,4
"507","1",2,1,4,1,3,26,3,1
"508","1",1,2,4,1,1,26.55,3,1
"509","0",3,2,3,1,1,22.525,3,1
"510","1",3,2,3,1,1,56.4958,3,1
"511","1",3,2,3,1,1,7.75,2,1
"512","0",3,2,3,1,1,8.05,3,1
"513","1",1,2,4,1,1,26.2875,3,6
"514","1",1,1,4,2,1,59.4,1,1
"515","0",3,2,3,1,1,7.4958,3,1
"516","0",1,2,4,1,1,34.0208,3,5
"517","1",2,1,4,1,1,10.5,3,7
"518","0",3,2,4,1,1,24.15,2,1
"519","1",2,1,4,2,1,26,3,1
"520","0",3,2,4,1,1,7.8958,3,1
"521","1",1,1,4,1,1,93.5,3,3
"522","0",3,2,3,1,1,7.8958,3,1
"523","0",3,2,4,1,1,7.225,1,1
"524","1",1,1,4,1,2,57.9792,1,3
"525","0",3,2,3,1,1,7.2292,1,1
"526","0",3,2,4,1,1,7.75,2,1
"527","1",2,1,4,1,1,10.5,3,1
"528","0",1,2,4,1,1,221.7792,3,4
"529","0",3,2,4,1,1,7.925,3,1
"530","0",2,2,3,3,2,11.5,3,1
"531","1",2,1,1,2,2,26,3,1
"532","0",3,2,3,1,1,7.2292,1,1
"533","0",3,2,3,2,2,7.2292,1,1
"534","1",3,1,2,1,3,22.3583,1,1
"535","0",3,1,4,1,1,8.6625,3,1
"536","1",2,1,2,1,3,26.25,3,1
"537","0",1,2,4,1,1,26.55,3,3
"538","1",1,1,4,1,1,106.425,1,1
"539","0",3,2,3,1,1,14.5,3,1
"540","1",1,1,3,1,3,49.5,1,3
"541","1",1,1,4,1,3,71,3,3
"542","0",3,1,2,5,3,31.275,3,1
"543","0",3,1,2,5,3,31.275,3,1
"544","1",2,2,4,2,1,26,3,1
"545","0",1,2,4,2,1,106.425,1,4
"546","0",1,2,5,1,1,26,3,1
"547","1",2,1,3,2,1,26,3,1
"548","1",2,2,3,1,1,13.8625,1,1
"549","0",3,2,4,2,2,20.525,3,1
"550","1",2,2,2,2,2,36.75,3,1
"551","1",1,2,3,1,3,110.8833,1,4
"552","0",2,2,3,1,1,26,3,1
"553","0",3,2,4,1,1,7.8292,2,1
"554","1",3,2,3,1,1,7.225,1,1
"555","1",3,1,3,1,1,7.775,3,1
"556","0",1,2,5,1,1,26.55,3,1
"557","1",1,1,4,2,1,39.6,1,2
"558","0",1,2,3,1,1,227.525,1,1
"559","1",1,1,4,2,2,79.65,3,6
"560","1",3,1,4,2,1,17.4,3,1
"561","0",3,2,4,1,1,7.75,2,1
"562","0",3,2,4,1,1,7.8958,3,1
"563","0",2,2,3,1,1,13.5,3,1
"564","0",3,2,3,1,1,8.05,3,1
"565","0",3,1,3,1,1,8.05,3,1
"566","0",3,2,3,3,1,24.15,3,1
"567","0",3,2,3,1,1,7.8958,3,1
"568","0",3,1,3,1,5,21.075,3,1
"569","0",3,2,3,1,1,7.2292,1,1
"570","1",3,2,4,1,1,7.8542,3,1
"571","1",2,2,5,1,1,10.5,3,1
"572","1",1,1,4,3,1,51.4792,3,4
"573","1",1,2,4,1,1,26.3875,3,6
"574","1",3,1,3,1,1,7.75,2,1
"575","0",3,2,3,1,1,8.05,3,1
"576","0",3,2,3,1,1,14.5,3,1
"577","1",2,1,4,1,1,13,3,1
"578","1",1,1,4,2,1,55.9,3,6
"579","0",3,1,3,2,1,14.4583,1,1
"580","1",3,2,4,1,1,7.925,3,1
"581","1",2,1,3,2,2,30,3,1
"582","1",1,1,4,2,2,110.8833,1,4
"583","0",2,2,4,1,1,26,3,1
"584","0",1,2,4,1,1,40.125,1,2
"585","0",3,2,4,1,1,8.7125,1,1
"586","1",1,1,3,1,3,79.65,3,6
"587","0",2,2,4,1,1,15,3,1
"588","1",1,2,4,2,2,79.2,1,3
"589","0",3,2,3,1,1,8.05,3,1
"590","0",3,2,3,1,1,8.05,3,1
"591","0",3,2,4,1,1,7.125,3,1
"592","1",1,1,4,2,1,78.2667,1,5
"593","0",3,2,4,1,1,7.25,3,1
"594","0",3,1,4,1,3,7.75,2,1
"595","0",2,2,4,2,1,26,3,1
"596","0",3,2,4,2,2,24.15,3,1
"597","1",2,1,4,1,1,33,3,1
"598","0",3,2,4,1,1,0,3,1
"599","0",3,2,4,1,1,7.225,1,1
"600","1",1,2,4,2,1,56.9292,1,2
"601","1",2,1,3,3,2,27,3,1
"602","0",3,2,3,1,1,7.8958,3,1
"603","0",1,2,4,1,1,42.4,3,1
"604","0",3,2,4,1,1,8.05,3,1
"605","1",1,2,4,1,1,26.55,1,1
"606","0",3,2,4,2,1,15.55,3,1
